table,Rater,Construct Name,Context Text,Item text available?,Age Range,Child Age (for child-focused studies),Sample,Construct type,Measurement tool,Item format,Primary Language(s),Notes,Status,Reason
park_2024_ageism,claude-auto,,,,,,,,,,kor,Primary Language(s) inferred from the study's own biblio row (matched 'korea'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_mwbs_gratbeing,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_cpc_optimism,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_cpc_selfefficacy,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_cpc_hope,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
peng_2024_grit,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_gq6,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_serenity_acceptance,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pellerin2020_mwbs_pd,claude-auto,,,,,,,,,,fra,Primary Language(s) inferred from the study's own biblio row (matched 'french'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
petrowski_2019_sclk9,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
petrocchi_2020_neuroticism,claude-auto,,,,,,,,,,ita,Primary Language(s) inferred from the study's own biblio row (matched 'italian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pilch_2021_fear_covid19,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'poland'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pilch_2021_coping_behavior,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'poland'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pilch_2021_protection_motivation,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'poland'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
pilch_2021_personality_ipip20,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'poland'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ptacek2023_aaq2,claude-auto,,,,,,,,,,cze,Primary Language(s) inferred from the study's own biblio row (matched 'czech'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ptacek2023_swls,claude-auto,,,,,,,,,,cze,Primary Language(s) inferred from the study's own biblio row (matched 'czech'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ptacek2023_compact,claude-auto,,,,,,,,,,cze,Primary Language(s) inferred from the study's own biblio row (matched 'czech'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ptacek2023_dass21,claude-auto,,,,,,,,,,cze,Primary Language(s) inferred from the study's own biblio row (matched 'czech'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
poza2026_hlseu,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spain'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
queiros_2018_qcae,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'portuguese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ribeiro_2024_msk_hq,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'portuguese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren_2019_scpv,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren2019_cpti,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
reinwarth_2023_domain_satisfaction,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
reinwarth_2023_phq4,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren2019_scpv,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren_2019_ypic,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren2019_ypic,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren_2019_cpti,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren_2019_sdq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
reinwarth_2023_loneliness3,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
ren2019_sdq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
reinwarth_2023_domain_importance,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
reinwarth_2023_psych_symptoms,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
rzeszutek_2020_swls,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
rzeszutek_2020_ghq28,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
romadlon_2022_facit,claude-auto,,,,,,,,,,ind,Primary Language(s) inferred from the study's own biblio row (matched 'indonesia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
romadlon_2022_bdi,claude-auto,,,,,,,,,,ind,Primary Language(s) inferred from the study's own biblio row (matched 'indonesia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
romadlon_2022_mfi20,claude-auto,,,,,,,,,,ind,Primary Language(s) inferred from the study's own biblio row (matched 'indonesia'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
rodriguezsantero_2024_sats36,claude-auto,,,,,,,,,,spa,Primary Language(s) inferred from the study's own biblio row (matched 'spanish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
sekowski_2025_mast,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
schoepp2022_test_anxiety,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
sekowski_2025_pies,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
senyurt_2023_burnout,claude-auto,,,,,,,,,,tur,Primary Language(s) inferred from the study's own biblio row (matched 'turkish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
silva_2018_tfeq,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'brazil'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
silva_2018_mbds,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'brazil'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
silva_2018_phcs,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'brazil'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
silva_2018_whoqol,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'brazil'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
skalka2025_ai_literacy,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'polish'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
silva_2018_bsq,claude-auto,,,,,,,,,,por,Primary Language(s) inferred from the study's own biblio row (matched 'brazil'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
song_2023_mpats,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
song_2023_rses,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
song_2023_slwai,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_bwas,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_pss4,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_work_conflict,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_work_addiction,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_molbi,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_wellbeing,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_passion,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
szabo_2025_family_conflict,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_outcome_expectations,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_swls,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_caregiver_child_conflict,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_caregiver_child_attachment,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_academic_satisfaction,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_panas_negative,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_environmental_support,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_self_construal,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_caregiver_child_regulation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_self_efficacy,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_caregiver_child_communication,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_goal_progress,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tang_2024_panas_positive,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tran_2023_phq9,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_news_source_frequency,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_legality_beliefs,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tran_2023_gi_symptoms,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tran_2023_gad7,claude-auto,,,,,,,,,,vie,Primary Language(s) inferred from the study's own biblio row (matched 'vietnam'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_news_consumption,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_discourse_responsibility,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_data_disclosure,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_ai_acceptance,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
torok_2025_manipulation_fear,claude-auto,,,,,,,,,,hun,Primary Language(s) inferred from the study's own biblio row (matched 'hungarian'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
trusz_2025_nfi,claude-auto,,,,,,,,,,pol,Primary Language(s) inferred from the study's own biblio row (matched 'poland'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
tu_2022_achievement_motivation,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
vanteffelen_2020_foa,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
vanteffelen_2020_trait_anger,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
vanteffelen_2020_pid5_hostility,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
vanteffelen_2020_aq_hostility,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
vanteffelen_2020_rpq,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
van_der_donk_2019_bdi,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'netherlands'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
weeldenburg_2022_targetmtpq,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
weber2026_name_knowledge,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'germany'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wen_2022_pyd,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang2022_dass_anxiety,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang2022_dass_stress,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang2022_iat,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang2022_dass_depression,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
weeldenburg_2022_brpeq_motivation,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang2022_igas,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang2022_fomo,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wang_2025_growth_mindset,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wicherts_2023_5pft,claude-auto,,,,,,,,,,dut,Primary Language(s) inferred from the study's own biblio row (matched 'dutch'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wiedemann_2021_risk_perception,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wurm_2016_hbi,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wolters2026_css,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
xu_2016_pqb,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wolters2026_panas_pa,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wolters2026_wi,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wolters2026_symptom_concerns,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
xu_2023_hi,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
wolters2026_panas_na,claude-auto,,,,,,,,,,ger,Primary Language(s) inferred from the study's own biblio row (matched 'german'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
xu_2023_mi,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
xu_2023_oic,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
xu_2023_pca,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
xu_2025_hcq_p,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2023_emotional_eating_cesd,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2023_emotional_eating_ders,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2023_emotional_eating_eesr,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2023_emotional_eating_uppsp,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2026_erq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2026_pars3,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2026_rrs,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yang_2026_stress_response,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yao_2020_bdi,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yao_2020_epq,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yao_2020_gad,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yao_2020_ius,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
yu_2015_family_environment,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'china'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
zvi_2022_harassment_perception,claude-auto,,,,,,,,,,heb,Primary Language(s) inferred from the study's own biblio row (matched 'israel'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
zhao_2025_digital_literacy,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
zhou_2025_ehealth_literacy,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
zhou_2025_peer_relationship,claude-auto,,,,,,,,,,chi,Primary Language(s) inferred from the study's own biblio row (matched 'chinese'); #1803 licenses inference from country or population where the source does not state the administered language. No other column asserted.,tagged,
