Filename,Description,URL,Reference,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,Measurement Focus,Response Type,Target Population,Domain of Measurement,Scoring Methodology,Data Structure,Data Source,Context of Use,Item Format,Geographic Location
spelling2pronounce_edwards2023,Word-level pronunciation difficulty ratings based on spelling,https://github.com/ashleyaedwards/SpellingToPronunciationTransparencyRatings,"Edwards, A. A., Rigobon, V. M., Steacy, L. M., & Compton, D. L. (2024). Spelling-to-pronunciation transparency ratings for the 20,000 most frequently written English words. Behavior Research Methods, 56(4), 2828-2841.",,Public,CC BY 4.0,Agreed via email 9-17-2024 (from edwards@psy.fsu.edu),bd,9-17-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
idas_machado2024,Brazilian Version of the Inventory of Depression and Anxiety Symptoms,https://osf.io/agw9e/?view_only=328aeea7cb304e5f83d0e65bb1f2ee41,"Machado, G. M., Valentini, F., Watson, D., & Carvalho, L. D. F. (2024). The Brazilian version of the Inventory of Depression and Anxiety Symptoms–Expanded Version: Internal structure, invariance by sex and race, and associations with pathological personality traits. Psychological assessment.",,Public,CC BY 4.0,email permission 9-11-2024,,,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
spidersBAT_grill2024,Spider Phobia and Fear of Spiders questionnaires,https://osf.io/y2akv/,"Grill, M., Heller, M., & Haberkamp, A. (2024). Development and initial validation of an open-access online Behavioral Avoidance Test (BAT) for spider fear. Psychological Assessment, 36(5), 351–364. https://doi.org/10.1037/pas0001305",CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,bd,9-4-2024,Fear/Phobia Assessment,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Psychological Screening,Questionnaires,Unknown
DART_Brysbaert_2020_3&4&5,Author recognition test (DART),https://osf.io/u4vhs/,"Brysbaert, M., Sui, L., Dirix, N., & Hintz, F. (2020). Dutch Author Recognition Test. Journal of Cognition, 3(1), 6. https://doi.org/10.5334/joc.95",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,see license.txt,bd/arthur,9-4-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DART_Brysbaert_2020_1,Author recognition test (DART),https://osf.io/u4vhs/,"Brysbaert, M., Sui, L., Dirix, N., & Hintz, F. (2020). Dutch Author Recognition Test. Journal of Cognition, 3(1), 6. https://doi.org/10.5334/joc.95",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,see license.txt,bd/arthur,9-4-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
GART_Grolig_2020,Author recognition test (GART),https://osf.io/4hcwt/,"Grolig, L., Tiffin-Richards, S. P., & Schroeder, S. (2020). Print exposure across the reading span. Reading and Writing, 33, 1423–1441.",CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,bd/arthur,9-4-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
wine_luckett2021,Discrimination of odor mixture samples,https://osf.io/nwv5a/,"Curtis R Luckett, Robert Pellegrino, Michelle Heatherly, Katherine Alfaro Martinez, Melissa Dein, P John Munafo, Discrimination of Complex Odor Mixtures: A Study Using Wine Aroma Models, Chemical Senses, Volume 46, 2021, bjaa079, https://doi.org/10.1093/chemse/bjaa079",email permission,Public,CC BY 4.0,,bd,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gad_BrummerHoffman_2021,Generalized anxiety disorder,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
wemwbs_BrummerHoffman_2021,Warwick-Edinburgh Mental Well-Being Scale,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
whodas_BrummerHoffman_2021,World Health Organization Disability Assessment Schedule,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Global
grit_BrummerHoffman_2021,short version of the Grit Scale,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Personality Traits,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
phq_BrummerHoffman_2021,Patient Health Questionnaire–9,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
promis_BrummerHoffman_2021,PROMIS anxiety and depression scales,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ucla_BrummerHoffman_2021,UCLA loneliness scale,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Affective Measures,Unknown,Unknown,Unknown,Unknown,Likert Scale,Unknown
audit_BrummerHoffman_2021,AUDIT alcohol use scale,https://osf.io/p8j2v/,"de Souza Brümmer, R., Krause, K. R., Salum, G. A., de Almeida Fleck, M. P., Porto, I. M., do Amaral, J. V., ... & Hoffmann, M. S. (2024). Beyond frequency: Evaluating the validity of assessing the context, duration, ability and botherement of depression and anxiety symptoms in south Brazil. Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-4-2024,Health/Well-being,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
feardriving_fisher2021,Driving fear & cognition questionnaires,https://www.psycharchives.org/en/item/0cc3e604-d23c-4b87-aefe-b8812760bbb0,"Fischer, C., Schröder, A., Taylor, J. E., & Heider, J. (2021). Measuring Driving Fear. European Journal of Psychological Assessment.",CC-BY 4.0,Public,CC-BY 4.0,,bd/arthur,9-4-2024,"Fear of Driving, Cognition",Unknown,Adults,Psychological,Unknown,Unknown,Survey-based,Psychological Screening,Questionnaires,Germany
psiq_woelk2022,Dutch Version of the Plymouth Sensory Imagery Questionnaire,https://osf.io/6ebnw/,"Woelk, M., Hagenaars, M. A., & Krans, J. (2022). Validation of the Dutch version of the Plymouth Sensory Imagery Questionnaire. European Journal of Psychological Assessment.",,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BAFACALO_Golino_2013_BVPS,Broad visual perception subtest for Brazil high school students,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/23150,"Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.",CC0,Public,CC0,,bd/arthur,9-5-2024,Broad visual perception subtest,Unknown,High school students,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brazil
BAFACALO_Golino_2013_CIS,Crystallized intelligence tests from Brazil high school students,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/23150,"Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.",CC0,Public,CC0,,bd/arthur,9-5-2024,Cognitive Skills,Unknown,High School Students,Crystallized Intelligence,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Brazil
BAFACALO_Golino_2013_FIS,Fluid intelligence test from Brazil high school students,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/23150,"Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.",CC0,Public,CC0,,bd/arthur,9-5-2024,Cognitive Skills,Unknown,High School Students,Fluid Intelligence,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazil
BAFACALO_Golino_2013_SMS,Short-term memory subtests from Brazil high school students,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/23150,"Golino, H. F., & Gomes, C. M. A. (2014). Psychology data from the “BAFACALO project: The Brazilian Intelligence Battery based on two state-of-the-art models–Carroll’s Model and the CHC model”. Journal of Open Psychology Data, 2(1), e6-e6.",CC0,Public,CC0,,bd/arthur,9-5-2024,Short-term memory,Unknown,High School Students,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazil
sabers_vesper2023,Multi-lingual versions of the Strike Attitude and Behavioral Reactions Scale,https://osf.io/46bdr/,"Vesper, D., & König, C. J. (2023). Measurement equivalence of the English, German, and French versions of the Strike Attitude and Behavioral Reactions Scale (SABeRS). European Journal of Psychological Assessment.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/athur,9-9-2024,Behavioral Measures,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
STARSinCA_Perlstein_2022,Sensitivity to Threat and Affiliative Reward Scale (STARS),https://osf.io/5qxv6/,"Perlstein, S., Wagner, N., Domínguez-Álvarez, B., Gómez-Fraguela, J. A., Romero, E., Lopez-Romero, L., & Waller, R. (2023). Psychometric properties, factor structure, and validity of the sensitivity to threat and affiliative reward scale in children and adults. Assessment, 30(6), 1914-1934.",,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
EEEDPRM_Bulut_2021,Rosenberg Self-Esteem Scale,https://osf.io/eapd8/,"Bulut, O., Gorgun, G., & Yildirim-Erbasli, S. N. (2021). Estimating explanatory extensions of dichotomous and polytomous Rasch models: The eirm package in R. Psych, 3(3), 308-321.",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-8-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PBS_Surrain_2019_PoB,Perceptions of Bilingualism Scales,https://osf.io/yw7t2/?view_only=,"Luk, G., & Surrain, S. (2019). The perceptions of bilingualism scales. https://osf.io/preprints/psyarxiv/s32zb",CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd/arthur,9-7-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MEFSIRODGAS_Nileksela_2023_severity,Depression and Generalized Anxiety Scales rated by severity,https://osf.io/khwzy/?view_only=,"Niileksela, C. R., & Jones, N. B. (2023). Measurement Equality of Frequency and Severity Item Response Options on Depression and Generalized Anxiety Scales. Assessment, 30(6), 2016-2028.",,Public,CC BY 4.0,email 9-10-2024,bd/arthur,9-10-2024,Health/Well-being,Continuous,Unknown,Depression and Generalized Anxiety Severity,Unknown,Unknown,Unknown,Unknown,Likert Scale,Unknown
MEFSIRODGAS_Nileksela_2023_freq,Depression and Generalized Anxiety Scales rated by frequency,https://osf.io/khwzy/?view_only=,"Niileksela, C. R., & Jones, N. B. (2023). Measurement Equality of Frequency and Severity Item Response Options on Depression and Generalized Anxiety Scales. Assessment, 30(6), 2016-2028.",,Public,CC BY 4.0,email 9-10-2024,bd/arthur,9-10-2024,Health/Well-being,Polytomous,Unknown,Depression and Generalized Anxiety,Unknown,Unknown,Unknown,Unknown,Likert Scale,Unknown
gilbert_meta_1,Reading comprehension data from an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QARRYT,"Gilbert, J. B., Kim, J. S., & Miratrix, L. W. (2023). Modeling item-level heterogeneous treatment effects with the explanatory item response model: Leveraging large-scale online assessments to pinpoint the impact of educational interventions. Journal of Educational and Behavioral Statistics, 48(6), 889-913.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Reading comprehension,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_2,Reading comprehension data from an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LAWFFU,"Kim, J. S., Burkhauser, M. A., Relyea, J. E., Gilbert, J. B., Scherer, E., Fitzgerald, J., ... & McIntyre, J. (2023). A longitudinal randomized trial of a sustained content literacy intervention from first to second grade: Transfer effects on students’ reading comprehension. Journal of Educational Psychology, 115(1), 73.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Reading Comprehension,Unknown,Unknown,Educational Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_4,Measures of noncognitive skills in criminally engaged men,https://www.openicpsr.org/openicpsr/project/113056/version/V1/view,"Blattman, C., Jamison, J. C., & Sheridan, M. (2017). Reducing crime and violence: Experimental evidence from cognitive behavioral therapy in Liberia. American Economic Review, 107(4), 1165-1206.",CC 4.0,Public,CC 4.0,,josh,9-12-2024,Noncognitive skills,Unknown,Criminally engaged men,Behavioral Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Liberia
gilbert_meta_5,Health literacy quiz in an intervention,https://eprints.soton.ac.uk/448205/,"Woods-Townsend, K., Hardy-Johnson, P., Bagust, L., Barker, M., Davey, H., Griffiths, J., ... & Inskip, H. (2021). A cluster-randomised controlled trial of the LifeLab education intervention to improve health literacy in adolescents. PLoS One, 16(5), e0250545.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Health/Well-being,Unknown,Adolescents,Health Literacy,Unknown,Unknown,Unknown,Educational Intervention,Unknown,Unknown
gilbert_meta_6,Student financial proficiency,https://www.openicpsr.org/openicpsr/project/116339/version/V1/view,"Bruhn, M., de Souza Leão, L., Legovini, A., Marchetti, R., & Zia, B. (2016). The impact of high school financial education: Evidence from a large-scale evaluation in Brazil. American Economic Journal: Applied Economics, 8(4), 256-295.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Financial Proficiency,Unknown,High School Students,Financial Education,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Brazil
gilbert_meta7,Vocabulary test following a reading intervention,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RKBVKY,"Kim, J. S., Gilbert, J. B., Relyea, J. E., Rich, P., Scherer, E., Burkhauser, M. A., & Tvedt, J. N. (2024). Time to transfer: Long-term effects of a sustained and spiraled content literacy intervention in the elementary grades.Developmental Psychology. Advance online publication. https://doi.org/10.1037/dev0001710",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Educational Ability,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta8,Comprehension test following a reading intervention,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RKBVKY,"Kim, J. S., Gilbert, J. B., Relyea, J. E., Rich, P., Scherer, E., Burkhauser, M. A., & Tvedt, J. N. (2024). Time to transfer: Long-term effects of a sustained and spiraled content literacy intervention in the elementary grades.Developmental Psychology. Advance online publication. https://doi.org/10.1037/dev0001710",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Educational Ability,Unknown,Unknown,Reading Comprehension,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_9,Scale related to intimate partner violence,https://www.openicpsr.org/openicpsr/project/113634/version/V1/view,"Hidrobo, M., Peterman, A., & Heise, L. (2016). The effect of cash, vouchers, and food transfers on intimate partner violence: evidence from a randomized experiment in Northern Ecuador. American Economic Journal: Applied Economics, 8(3), 284-303.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Intimate Partner Violence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Northern Ecuador
gilbert_meta_10,Reading self-concept following a literacy intervention,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HQEMN6,"Kim, J. S., Relyea, J. E., Burkhauser, M. A., Scherer, E., & Rich, P. (2021). Improving elementary grade students’ science and social studies vocabulary knowledge depth, reading comprehension, and argumentative writing: A conceptual replication. Educational Psychology Review, 1-30.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Reading self-concept,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_11,Vocabulary test following a literacy intervention for grade 1 students,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HQEMN6,"Kim, J. S., Relyea, J. E., Burkhauser, M. A., Scherer, E., & Rich, P. (2021). Improving elementary grade students’ science and social studies vocabulary knowledge depth, reading comprehension, and argumentative writing: A conceptual replication. Educational Psychology Review, 1-30.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Educational Ability,Unknown,Grade 1 Students,Cognitive Skills,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
gilbert_meta_12,Vocabulary test following a literacy intervention for grade 2 students,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HQEMN6,"Kim, J. S., Relyea, J. E., Burkhauser, M. A., Scherer, E., & Rich, P. (2021). Improving elementary grade students’ science and social studies vocabulary knowledge depth, reading comprehension, and argumentative writing: A conceptual replication. Educational Psychology Review, 1-30.",CC BY-NC-SA 4.0,Public,CC BY-NC-SA 4.0,,josh,9-12-2024,Educational Ability,Unknown,Grade 2 Students,Vocabulary,Unknown,Unknown,Test-based,Educational Assessment,Unknown,Unknown
gilbert_meta_13,Literacy data from an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5OPIYU,"Romero, M., Sandefur, J., & Sandholtz, W. A. (2020). Outsourcing education: Experimental evidence from Liberia. American Economic Review, 110(2), 364-400.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Literacy,Unknown,Unknown,Educational Ability,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_14,Math data from an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5OPIYU,"Romero, M., Sandefur, J., & Sandholtz, W. A. (2020). Outsourcing education: Experimental evidence from Liberia. American Economic Review, 110(2), 364-400.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_15,Raven's matrices from an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5OPIYU,"Romero, M., Sandefur, J., & Sandholtz, W. A. (2020). Outsourcing education: Experimental evidence from Liberia. American Economic Review, 110(2), 364-400.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Cognitive Skills,Unknown,Unknown,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_16,Math from students in an RCT,https://zenodo.org/records/10038843,"de Barros, A., Fajardo-Gonzalez, J., Glewwe, P., & Sankar, A. (2024). The Limitations of Activity-Based Instruction to Improve the Productivity of Schooling. The Economic Journal, 134(659), 959-984.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Educational Ability,Unknown,Students,Mathematics,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_17,Math data from students in an RCT,https://zenodo.org/records/10492707,"Duflo, A., Kiessel, J., & Lucas, A. M. (2024). Experimental Evidence on Four Policies to Increase Learning at Scale. The Economic Journal, 134(661), 1985-2008.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Educational Ability,Unknown,Students,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_18,English data from students in an RCT,https://zenodo.org/records/10492707,"Duflo, A., Kiessel, J., & Lucas, A. M. (2024). Experimental Evidence on Four Policies to Increase Learning at Scale. The Economic Journal, 134(661), 1985-2008.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Educational Ability,Unknown,Students,Learning,Unknown,Unknown,Replication package,Unknown,Unknown,Unknown
gilbert_meta_19,Data from students' local language in an RCT,https://zenodo.org/records/10492707,"Duflo, A., Kiessel, J., & Lucas, A. M. (2024). Experimental Evidence on Four Policies to Increase Learning at Scale. The Economic Journal, 134(661), 1985-2008.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Educational Ability,Unknown,Students,Language Learning,Unknown,Unknown,Replication Package,Educational Assessment,Unknown,Unknown
gilbert_meta_20,Math data from students in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z4WMFE,"Jayanthi, M., Gersten, R., Schumacher, R. F., Dimino, J., Smolkowski, K., & Spallone, S. (2021). Improving struggling fifth-grade students’ understanding of fractions: A randomized controlled trial of an intervention that stresses both concepts and procedures. Exceptional Children, 88(1), 81-100.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Educational Ability,Unknown,Students in an RCT,Math,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_21,Math data from students in an RCT,https://www.openicpsr.org/openicpsr/project/182542/version/V1/view,"Davenport, J. L., Kao, Y. S., Johannes, K. N., Hornburg, C. B., & McNeil, N. M. (2023). Improving children’s understanding of mathematical equivalence: An efficacy study. Journal of Research on Educational Effectiveness, 16(4), 615-642.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Mathematical Equivalence Understanding,Unknown,Children,Cognitive Skills,Unknown,Unknown,Unknown,Educational Assessment,Unknown,Unknown
gilbert_meta_22,Attitudes towards savings in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GDP2YP,"Berry, J., Karlan, D., & Pradhan, M. (2018). The impact of financial education for youth in Ghana. World development, 102, 71-89.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Attitudes towards savings,Unknown,Unknown,Financial Attitudes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_23,Math outcomes in an RCT,https://data.mendeley.com/datasets/bwkm69ycrc/1,"Bang, H. J., Li, L., & Flynn, K. (2023). Efficacy of an adaptive game-based math learning app to support personalized learning and improve early elementary school students’ learning. Early Childhood Education Journal, 51(4), 717-732.",CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024,Math Learning Outcomes,Dichotomous,Kindergartners and First Graders,Cognitive Skills,Unknown,Longitudinal,Test-based,Educational Assessment,Standards-based items,Unknown
gilbert_meta_24,Dietary behavior in children in an RCT,https://zenodo.org/records/4988832,"Llauradó, E., Tarro, L., Moriña, D., Queral, R., Giralt, M., & Solà, R. (2014). EdAl-2 (Educacio en Alimentacio) programme: reproducibility of a cluster randomised, interventional, primary-school-based study to induce healthier lifestyle activities in children. BMJ open, 4(11), e005496.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Health/Well-being,Dichotomous,Children,"Dietary Behavior, Physical Activity",Unknown,Longitudinal,Questionnaires,Educational Assessment,Unknown,Spain
gilbert_meta_25,Food preferences in children in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VNLWCB,"Schreinemachers, P., Baliki, G., Shrestha, R. M., Bhattarai, D. R., Gautam, I. P., Ghimire, P. L., ... & Brück, T. (2020). Nudging children toward healthier food choices: an experiment combining school and home gardens. Global Food Security, 26, 100454.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Food Preferences,Unknown,Children,Behavioral Measures,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_26,Food knowledge in children in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VNLWCB,"Schreinemachers, P., Baliki, G., Shrestha, R. M., Bhattarai, D. R., Gautam, I. P., Ghimire, P. L., ... & Brück, T. (2020). Nudging children toward healthier food choices: an experiment combining school and home gardens. Global Food Security, 26, 100454.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Food knowledge in children,Unknown,Children,Cognitive Skills,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_27,Mothers' language in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/19PPE7,"Banerji, R., Berry, J., & Shotland, M. (2017). The impact of maternal literacy and participation programs: Evidence from a randomized evaluation in India. American Economic Journal: Applied Economics, 9(4), 303-337.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
gilbert_meta_28,Mother's math in an RCT,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/19PPE7,"Banerji, R., Berry, J., & Shotland, M. (2017). The impact of maternal literacy and participation programs: Evidence from a randomized evaluation in India. American Economic Journal: Applied Economics, 9(4), 303-337.",CC0 1.0,Public,CC0 1.0,,josh,9-12-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
