_key,Evaluator,"Decision
Yes=start github issue
,,,plos,plosone,10.1371/journal.pone.0324929,Physiological and psychological responses to five-day fasting,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324929,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Raw data used in analyses.   https://doi.org/10.1371/journal",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0324929_S1_File.xlsx,1638,35,39,1.2,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0142178,Competence and Quality in Real-Life Decision Making,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142178,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0142178.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0142178_S1_Dataset.sav,700,2,4,87.5,2,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0304650,The success elements of humor use in workplace leadership: A proposed framework with cognitive and emotional competencies,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0304650,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Read the context ', ""[TS] I need to look at the complexity of the system that I'm working in, to know whether humour is appropriate in that particular forum or not."", ""[JB]  you know I was talking to my friends who are tradies about this.",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0304650_S1_File.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0349770,"Occupational stress, coping strategies, and associated factors among primary healthcare workers in Vietnam",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0349770,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_direction*, imputed_values*, multi_scale* | SI caption: PSS data.   https://doi.org/10.1371/journal.pone.0349770.s00",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0349770_S1_Dataset.xls,11876,38,56,5.5808,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0287564,Investigating mental representations of psychoactive substance use and other potentially addictive behaviors using a data driven network-based clustering method,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0287564,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Guilt/Shame/Relief', 'Addiction/Health', 'Stress/Relaxation', 'Procrastination/Boredom'] | SI ca",Data is available at  https://zenodo.org/record/7956993 .,https://zenodo.org/record/7956993,journal.pone.0287564_S1_Appendix.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0272803,A network analysis of problematic smartphone use in Japanese young adults,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0272803,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0272803.s006",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0272803_S1_Data.xlsx,5844,12,12,40.5833,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0278092,Translation and psychometric evaluation of Smartphone Addiction Scale—Short Version (SAS-SV) among Chinese college students,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0278092,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data for evaluating the SAS-CSV.   https://doi.org/10.1371/j",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0278092_S1_Data.xlsx,4464,2,16,139.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0260220,In employees’ favour or not?—The impact of virtual office platform on the work-life balances,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260220,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0260220.s004","Data cannot be shared publicly because of data protection. Data are available from the Sri Lanka Institute of Information Technology, SLIIT Business School, Sri Lanka (contact via Prof. Samantha Thelijjagoda, Dean, SLIIT Business School, Sri Lanka Institute of Information Technology, New Kandy Road,",,journal.pone.0260220_S1_Data.sav,9720,4,36,67.5,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0194912,Does farmer entrepreneurship alleviate rural poverty in China? Evidence from Guangxi Province,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0194912,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Research data.   https://doi.org/10.1371/journal.pone.019491",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0194912_S1_Dataset.xlsx,7104,5,23,61.7739,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0275265,Formalizing the fundamental Faustian bargain: Inefficacious decision-makers sacrifice their freedom of choice to coercive leaders for economic security,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0275265,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['EXPERIMENT 1: VARIABLE LIST', 'Unnamed: 1'] | SI caption: https://doi.org/10.1371/journal.pone.0275265.s002",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0275265_S1_Dataset.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0239332,Assessment of measurement properties of the Brazilian-Portuguese version of the low back activity confidence scale (LoBACS) in patients with chronic low back pain,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239332,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: LoBACS-Brasil_Descriptive database.   https://doi.org/10.137",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0239332_S2_File.sav,511,47,7,1.5532,2,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0182353,Physical and cognitive effort discounting across different reward magnitudes: Tests of discounting models,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0182353,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Effort data.    Raw data from the study along with fit indic",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0182353_S1_File.sav,11536,35,102,3.2314,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0269539,Development and psychometric evaluation of the emergency nurses’ professional resilience tool,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269539,cc-by,human_assistance,"QC failed on: id_na, dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, density* | SI caption: https://doi.org/10.1371/journal.pone.0269539.s001",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0269539_S1_Data.sav,1257,0,5,0,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0208090,Changes in the basic birth beliefs following the first birth experience: Self-fulfilling prophecies?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208090,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Minimal data file- changes in birth beliefs following first ",All relevant data are within the manuscript and its Supporting Information files.,,journal.pone.0208090_S1_File.xlsx,5404,36,16,9.3819,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0274445,Reliability and validity of the Japanese version of Pain Disability Index,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0274445,cc-by,human_assistance,QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction* | SI caption: AMOS_Backpain: The dataset (low back pain) for AMOS.   https,All relevant data are within the paper and its  Supporting Information  file.,,journal.pone.0274445_S1_File.csv,1800,10,6,30,2,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0212612,When do anorexic patients perceive their body as too fat? Aggravating and ameliorating factors,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212612,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5'] | SI caption: Spreadsheet with proportions of responses of the anorexia ne",All relevant data are within the manuscript and its Supporting Information file.,,journal.pone.0212612_S1_Data.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0211933,The moderating role of sportsmanship and violent attitudes on social and personal responsibility in adolescents. A clustering-classification approach,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211933,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Database sportmanship and violence cluster.   https://doi.or",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0211933_S1_Dataset.sav,24903,32,42,18.529,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0294302,"Effects of pain education on disability, pain, quality of life, and self-efficacy in chronic low back pain: A randomized controlled trial",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0294302,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: LBP RCT dataset.   https://doi.org/10.1371/journal.pone.0294",“All relevant data are within the manuscript and its  Supporting information  files.”,,journal.pone.0294302_S3_File.xls,2943,37,32,2.4856,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0207023,"An incremental dual-task paradigm to investigate pain attenuation by task difficulty, affective content and threat value",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0207023,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['E1 force', 'Force measurements (in Newton) for the different conditions in Experiment 1', 'Unnamed: 2'] | SI caption: Excel file of data for Experiments 1 and 2.    Force and beh",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0207023_S1_File.xlsx,,,,,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0247324,Characteristics of sickle cell patients with frequent emergency department visits and hospitalizations,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0247324,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: id_na, resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0247324.s002",All relevant data are within the paper and its  supporting files .,,journal.pone.0247324_S1_Data.xlsx,138,34,4,1.0147,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0254434,Who are the ‘social Darwinists’? On dispositional determinants of perceiving the social world as competitive jungle,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0254434,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction* | SI caption: Study 1 dataset.   https://doi.org/10.1371/journal.pone.0254",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0254434_S1_File.xls,3360,9,4,93.3333,3,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0335968,Psychosocial and cognitive predictors of academic achievement among higher education students in Southern Ethiopia,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335968,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0335968.s001",All relevant data are within the manuscript and its  supporting information  files.,,journal.pone.0335968_S1_Data.xlsx,5100,2,17,150,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0284763,"Kindled emotions: Commemoration and the importance of meaning making, support and recognition",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0284763,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0284763.s001",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0284763_S1_Data.sav,9917,2,34,145.8382,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0281517,Pain phenotyping and investigation of outcomes in physical therapy: An exploratory study in patients with low back pain,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0281517,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0281517.s001",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0281517_S1_File.xlsx,968,38,17,1.4985,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0249370,"The Hausa Back Beliefs Questionnaire: Translation, cross-cultural adaptation and psychometric assessment in mixed urban and rural Nigerian populations with chronic low back pain",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0249370,cc-by,human_assistance,"QC failed on: id_na, dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*, density* | SI caption: The Hausa-BBQ validity data (n = 200).   https://doi.org/10.",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0249370_S1_Data.xlsx,4300,0,43,0,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0148921,The Paradoxical Role of Perceived Control in Late Life Health Behavior,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0148921,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Dataset containing interview data.   https://doi.org/10.1371",Full interview data has been made available in a supplemental file. Aggregated physician visit data has also been made available as a separate supplemental file.,,journal.pone.0148921_S1_File.sav,3164,2,9,175.7778,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0157436,Measure of Node Similarity in Multilayer Networks,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157436,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Here we describe the data format of the networks.' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Here we describe the data format of the networks.'] | SI caption: Descr",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0157436_S1_Text.csv,,,,,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0300677,The impact of aerobics on mental health and stress levels: A visualization analysis of the CiteSpace map,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0300677,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['SrcDatabase-', 'Title-', 'Author-', 'Organ-', 'Source-', 'Keyword-', 'Summary-', 'PubTime-'] | SI caption: https://doi.org/10.1371/journal.pone.0300677.s001",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0300677_S1_Data.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0235149,Understanding the dimensions of sport-injury related growth: A DELPHI method approach,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0235149,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Delphi Survey Personal Growth in Injury - 1st round', 'Unnamed: 1'] | SI caption: Delphi survey personal growth in injury—1st round.   https:/",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0235149_S1_Dataset.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0348075,The development of the Internal Resource Perception Scale: Validity and reliability,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0348075,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values* | SI caption: Expert rated.   https://doi.org/10.1371/journal.pone.0348075",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0348075_S1_Dataset.xls,180,1,4,45,1,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0120522,Inhibition Ability of Food Cues between Successful and Unsuccessful Restrained Eaters: A Two-Choice Oddball Task,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0120522,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Fig.1' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Fig.1', 'Grand average waveform of the stimulus-locked ERPs for P2, N2 and P3 at Fz, Cz and Pz in S-RE (a), US-RE (",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0120522_S1_Dataset.xls,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0246676,"College students’ stress and health in the COVID-19 pandemic: The role of academic workload, separation from school, and fears of contagion",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246676,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: Anonymized data.   https://doi.org/10.1371/journal.pone.0246","All relevant data are within the manuscript and its  Supporting Information  files. In addition, all data are available form the OSF database. The link is  https://osf.io/ajfhw/  and the DOI is  10.17605/OSF.IO/AJFHW .",https://osf.io/ajfhw/,journal.pone.0246676_S1_Data.xlsx,47683,12,55,72.247,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0167398,Latent Profiles of Posttraumatic Growth and Their Relation to Differences in Resilience among Only-Child-Lost People in China,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0167398,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0167398.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0167398_S1_Data.xls,1998,2,9,111,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0291586,Reliability and validity of the Chinese version of the Benefit Finding Questionnaire for people with mental disorders,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0291586,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values* | SI caption: A file that contains all the data needed to arrive at the re",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0291586_S2_File.xlsx,5778,2,27,107,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0300376,Moderated mediation role of ethnicity on natural skin care products purchasing intention model among multicultural consumers,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0300376,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'EF', 'RACE', 'PI', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8'] | SI ca",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0300376_S1_Data.xlsx,,,,,2,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0287162,Barriers and facilitators associated with the use of mental health services among immigrant students in high-income countries: A systematic scoping review,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0287162,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Authors', 'Year', 'Country', 'Title', 'objectives', 'Method/Design', 'Measures/tools used ', 'Number(N)', 'Level of education', 'origins', ' age (year)', 'Sexe  ', 'Barriers', 'Facilitators', 'Key Recommandations'] | SI caption: Search terms.   https:/",All relevant data are within the paper and its  Supporting information  files.,,journal.pone.0287162_S2_File.xlsx,,,,,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0165566,Comparing Self-Report Measures of Internalized Weight Stigma: The Weight Self-Stigma Questionnaire versus the Weight Bias Internalization Scale,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0165566,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: Supporting Data.   https://doi.org/10.1371/journal.pone.0165",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0165566_S1_Data.sav,1069,34,14,2.2458,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,plos,plosone,10.1371/journal.pone.0163251,Personality Traits Are Associated with Research Misbehavior in Dutch Scientists: A Cross-Sectional Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163251,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0163251.s002",All relevant data are available within the paper and its Supporting Information files.,,journal.pone.0163251_S1_Dataset.sav,6955,3,13,178.3333,0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
